List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
255,AYU0043,Himachal Pradesh,"Rajiv Gandhi Govt. Post- Graduate, Ayurvedic College, Paprola, Tehsil-Baijnath, Distt. Kangra-176115,
Himachal Pradesh",Government,"Grant of conditional permission for intake capacity with 60 seats (75 including EWS) in UG (BAMS) course and
43  PG  seats  (54  seats including  EWS) instead  of {45 PG seats (56 seats including EWS)}  in 14 PG course in the  subject  namely  (i)  Ayurved  Samhita,  Sanskrit  & Siddhanta  -04  seats  (05  seats  including  EWS),  (ii) Rachana    Sharir-    02    seats    (without    EWS),    (iii) Dravyaguna  Vigyana  -  03  seats  (04  seats  including EWS), (iv) Rog Nidanavum Vikriti Vigyan - 03 seats (04 seats  including  EWS),  (v)  Agad  Tantra  avum  Vidhi Vaidyaka-02   seats   (03   seats   including   EWS),   (vi) Prasuti  &  Stri  Roga  -  03  seats  (04  seats  including EWS),  (vii)  Kaumarbhritya-  BalaRoga  -  03  seats  (04 seats including EWS), (viii) Kayachikitsa- 06 seats, (7 seats including EWS ), (ix) Shalya tantra - 04 seats (05 seats including EWS), (x) Shalakya Tantra 04 seats (05 seats   including   EWS),   (xi)   Kriya   Sharir   02   seats (without  EWS),  (xii)  Swasthavritta  &  Yoga-  03  seats (04 seats including EWS), (xiii) Panchakarma 03 seats (04   seats   including   EWS)   (Xiv)   Rasa   Shastra   & Bhaisaiva Kalpana - 01 seats (without EWS) instead of 03  seats  (04  seats  including  EWS)  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020.",60,43,0,75,54,0,"Conditional Permission (UG - 60, PG - 43 seats
without EWS & UG - 75, PG - 54 seats including EWS)"
256,AYU0044,Jammu & Kashmir,"Jammu Institute of Ayurved & Research, Muthi, Nardani Raipur, Bantalab Road, Jammu Tawi-181123",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  15  seats  in  03  PG  course  in  the subject  namely  (i)  Kayachikitsa  -  05  seats  (ii)  Kriya Sharir - 05 seats (iii) Shalya Tantra - 05 seats for the academic session 2024-25  under section 28 of NCISM Act, 2020",60,15,0,0,0,0,Conditional Permission (UG - 60 seats & PG - 15 seats without EWS)
257,AYU0048,Karnataka,"Govt. Ayurvedic Medical College,
Dhanwantri Road, Bangalore- 560009,
Karnataka",Government,"Grant of conditional permission with 90 seats [instead of  100  seats]  in  UG  (BAMS)  and  45  seats  in  07  PG courses in the subject namely i) Dravyaguna- 07 seats,
ii)  Panchakarma-  07,  iii)  Shalya  tantra-  07  seats,  iv) Shalakya   Tantra   (Netra   Roga)-   7   seats,   v)   Roga Nidanam- 06 seats, vi) Rachana Shariram- 05 seats &
vii) Rasa Shastra & Bhaishajya kalpana-06 seats under section  28  of  the  NCISM  Act,  2020  for  the  academic
session 2024-25",90,45,0,0,0,0,Conditional Permission Seat Reduction in UG (UG - 90 seats & PG - 45 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
258,AYU0049,Karnataka,"Taranath Govt. Ayurvedic Medical College, Ananthpura Road, Bellary- 583101, Karnataka",Government,"Grant of Conditional Permission with intake capacity of
47  seats  (instead  of  60  seats)  in  UG  (BAMS)  course and 31 Seats in 05 PG Courses namely i) Rasa Shastra & Bhaisajya Kalpana-07 seats ii) Kayachikitsa- 07 seats
(iii)  Panchakarma  -07  seats  (iv)  Shalya  Tantra  -04 seats   (v)   Dravyaguna   Vigyana-   06   seats,   for   the academic session 2024-25 under section 28 of NCISM
Act, 2020",47,31,0,0,0,0,Conditional Permission Seat Reduction (UG - 47 seats & PG - 31 seats without EWS)
259,AYU0127,Madhya Pradesh,"Pt. Shivnath Shastri Government Autonomous Ayurveda College & Hospital Shikarpura, Near Water Tank, Burhanpur-450331, Madhya Pradesh",Government,"Grant of Conditional permission with 50 seats (63 seats including EWS) in UG (BAMS) course for the academic session 2024-25,  under section  28 of the  NCISM Act, 2020 and relevant regulations thereunder in respect of 2nd appeal.",50,0,0,63,0,0,Conditional Permission after 2nd Appeal (UG- 50 seats without EWS & UG - 63 seats including EWS)
260,AYU0132,Madhya Pradesh,"Govt. (Auto) Ayurved College, Tamra Road,
Nipaniya Dist-Rewa 484001, Madhya Pradesh",Government,"Grant of Conditional Permission with 60 seats (75 seats including EWS) in UG (BAMS) course and 05 seats (06 seats  including  EWS)  in  01  PG  course  in  the  subject namely Ayurved Samhita & Siddhant for the academic session 2024-25 under section 28 of NCISM Act, 2020",60,5,0,75,6,0,"Condtional Permission after Ist Appeal (UG - 60 seats, PG - 05 seats without EWS & UG - 75 seats, PG - 06 seats including EWS)"
261,AYU0154,Maharashtra,"Govt. Ayurvedic College Tulajapur Road, Osmanabad- 413501, Maharashtra",Government,"Grant   of   conditional   permission   for   issuance   of conditional   permission   with   50   seats   (63   seats including EWS) in UG (BAMS) course and 44 seats (56 seats  including  EWS)  [instead  of  48  seats  (60  seats including  EWS)]  in  08  PG  courses  namely  -(i)  Agad Tantra-06  seats  (07  seats  including  EWS)  (ii)  Rasa Shastra  and  Bhaisajya  Kalpana  -  06  seats  (08  seats including EWS) (iii) Rachna Sharir - 03 seats (04 seats including EWS) [instead of 06 seats (07 seats including EWS))  (iv)  Kriya  Sharir  -06  seats  (07  seats  including EWS)  (v)  Prasuti  Tantra  &  Stri  Roga  -  06  (08  seats including EWS) (vi) Shalya Tantra - 06 seats (08 seats including EWS) (vii) Kaumarbhritya- 05 seats (06 seats including EWS) [instead of 06 seats (07 seats including EWS)] and (viii) Dravyaguna Vigyan-06 seats (08 seats including  EWS)  for  the  academic  session  2024-2025, under section 28 of NCISM Act, 2020 for the academic year 2024-25.",50,44,0,63,56,0,"Condtional Permission with seat Reduction (UG - 50 seats, PG - 44 seats without EWS & UG - 63 seats, PG - 56 seats including EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
262,AYU0206,Odisha,"Gopabandhu Ayurveda Mahavidyalaya,
VIP Road, Puri-2, Puri - 752002, Odisha",Government,"Grant of Conditional Permission with 42 seats (53 seats including EWS) {instead of 60 seats (75 seats including EWS)}  in  UG  (BAMS)  course  and  15  seats  (19  seats including EWS) in 05 PG courses in the subject namely
(i) Kayachikitsa- 07 seats (08 seats including EWS) (ii) Kaumarbhritya-Bala Roga- 02 seats (without EWS) (iii) Ras Shastra  & Bhaisajya  Kalpana-  02 seats (03 seats including  EWS)  (iv)  Prasuti  &  Stri  Roga-01  seats  (02 seats including EWS) (v) Shalya Tantra- 03 seats (04 seats including EWS) for the academic session 2024-25 under section 28 of NCISM Act, 2020",42,15,0,53,19,0,"Condtional Permission with seat Reduction  (UG - 42 seats, PG - 15 seats without EWS & UG - 53 seats, PG - 19 seats including EWS)"
263,AYU0212,Punjab,"Government Ayurved College, Near Gurudwara Moti Bagh, Mandi Gobindgarh,  Patiala- 147001,
Punjab",Government,"Grant of conditional permission with 40 seats (50 seats including EWS) in UG (BAMS) course and 08 seats (10 seats  including  EWS) in  02 PG  courses in  the  subject namely (i) Rasashastra & Bahisajya Kalpana - 04 seats (05 seats including EWS) and (ii) Dravyaguna Vigyana 04  seats  (05  seats  including  EWS)  for  the  academic session 2024-25, under section 28 of the NCISM Act, 2020 and relevant regulations thereunder in respect of appeal dated 04.10.2024",40,8,0,50,10,0,"Condtional Permission after Ist Appeal (UG - 40 seats, PG - 08 seats without EWS & UG - 50 seats, PG - 10 seats including EWS)"
264,AYU0239,Uttarakhand,"Govt. Gurukul Ayurved College, Gurukul Kangari,
Haridwar-249404, Uttarakhand",Government,"Grant of conditional permission for intake capacity with 50 seats (62 seats including EWS) [instead of 60 seats (75 Seats including EWS)] in UG (BAMS) and 12 seats (15  Seats  including  EWS)  in  05  PG  courses  in  the subject  namely-  (i)  Panchakarma-03  seats  (04  seats including  EWS)  (ii)  Kayachikitsa  -  03  seats  (04  seats including EWS) (iii) Shalya Tantra - 02 seats (03 seats including EWS) (iv) Shalakya Tantra- 02 seats (Without EWS) (v) Kaumarbhritya- 02 seats (Without EWS) for the  academic  session  2024-25,  under  section  28  of NCISM Act, 2020",50,12,0,62,15,0,"Conditional Permission with Seat Reducation in UG (UG - 62 seats, PG -
15 seats including EWS & UG - 50 seats, PG - 12 seats without EWS),"
265,AYU0246,Uttar Pradesh,"Bundelkhand Govt. Ayurvedic College & Hospital,
Gwalior Road, Jhansi-284001, Uttar Pradesh",Government,"Grant of Conditional Permission with intake capacity of
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course for the academic session 2024-25 under section
28   of   NCISM   Act,   2020   and   relevant   regulations thereunder with respect to appeal dated 13.11.2024",60,0,0,75,0,0,Conditional Permission after Ist Appeal (UG - 75 seats including EWS & UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
266,AYU0247,Uttar Pradesh,"Government Ayurvedic College & Hospital
Atarra- 210201, Dist. Banda Uttar Pradesh",Government,"Grant of Conditional Permission with intake capacity of
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course for the academic session 2024-25 under section
28   of   NCISM   Act,   2020   and   relevant   regulations thereunder with respect to appeal dated 29.08.2024",60,0,0,75,0,0,Conditional Permission after 1st Appeal (UG - 60 seats without EWS & UG - 75 seats including EWS)
267,AYU0248,Uttar Pradesh,"S.R.M. Govt. Ayurvedic College, Bansmandi, Bareilly-243005, Uttar Pradesh",Government,"Grant of Conditional Permission with intake capacity of
60  seats  (75  seats  including  EWS)]  in  UG  (BAMS) course for the academic session 2024-25 under section
28   of   NCISM   Act,   2020   and   relevant   regulations thereunder with respect to appeal dated 12.11.2024.",60,0,0,75,0,0,Conditional Permission after Ist Appeal (UG - 60 seats including EWS & UG - 75 seats without EWS)
268,AYU0249,Uttar Pradesh,"Swami Kalyandev Government Ayurved College ,
Rampur, Muzaffarnagar- 251001, Uttar Pradesh",Government,"Grant of Conditional Permission with intake capacity of
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course for the academic session 2024-25 under section
28   of   NCISM   Act,   2020   and   relevant   regulations thereunder with respect to appeal dated 12.11.2024",60,0,0,75,0,0,Conditional Permission after Ist Appeal (UG - 75 seats including EWS & UG - 60 seats without EWS)
269,AYU0250,Uttar Pradesh,"Shri Lal Bahadur Shastri Smarak
Govt. Ayurvedic College & Hospital, Handia, Allahabad-221503, Uttar Pradesh",Government,"Grant of Conditional Permission with intake capacity  of
60  seats  (75  seats  including  EWS)]  in  UG  (BAMS) course for the academic session 2024-25 under section
28   of   NCISM   Act,   2020   and   relevant   regulations thereunder with respect to appeal dated 13.11.2024.",60,0,0,75,0,0,Conditional Permission after Ist Appeal (UG - 60 seats without EWS & UG - 75 Seats including EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
270,AYU0258,Uttar Pradesh,"Govt. Ayurvedic College & Hospital,
Sampoornanand Sanskrit University,
Varanasi- 221002, Uttar Pradesh",Government,"Grant of Conditional Permission with intake capacity of
60  seats  (75  seats  including  EWS)]  in  UG  (BAMS) course for the academic session 2024-25 under section
28   of   NCISM   Act,   2020   and   relevant   regulations thereunder  with  respect  to  appeal  dated  12.11.2024 and 26 seats (33 seats including EWS) [instead of 30 seats  (38  seats  including  EWS)]  in  06  PG  courses  in the subjects namely i) Rog Nidan avum Vikriti Vigyan- 04 seats (05 including EWS) [instead  of 05 seats (06 seats    including    EWS)],    ii)    Ayurved    Samhita    & Siddhanta - 04 seats (05 including EWS) [instead of 05 seats (06 seats including EWS)], iii) Shalyatantra - 04 seats (05 including EWS) [instead of 05 seats (07 seats including EWS)], iv) Prasuti & Stri Roga- 05 seats (07 including   EWS),   v)   Panchakarma   -   04   seats   (05 including EWS) [instead of 05 seats (06 seats including EWS)] and vi) Rasa Shastra & Bhaishajya Kalpana - 05 seats  (06  including  EWS),  for  the  academic  session
2024-25 under section 28 of NCISM Act, 2020",60,26,0,75,33,0,"Conditional Permission after 1st Appeal (UG - 60, PG - 26 seats without EWS,) & (UG -75, PG - 33
seats including EWS)"
271,AYU0165,Maharashtra,"Smt. Kamaladevi Gauridutt Mittal Puanrvasu Ayurved Mahavidyalaya Vd. Ramgopal Sharma Chowk,
Netaji Subhash Road, Charni Road (West),
Distt. Mumbai -400002, Maharashtra",Grant-in-aid,"Grant  of  conditional  permission  with  50  seats  in  UG (BAMS)  course  and  14  seats  in  04  PG  courses  in  the subjects  namely  (i)  Dravyaguna  Vigyan-  02  seats  (ii) Kayachikitsa-    08    seats,    (iii)    Ayurved    Samhita Siddhanta- 02 seats and (iv) Ras Shastra & Bhaishajya Kalpana-  02  seats  for  the  academic  session 2024-25, under section 28 of NCISM Act, 2020",50,14,0,0,0,0,"Conditional Permission after Ist Appeal ( UG - 50 seats, PG - 14 seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
272,AYU0230,Rajasthan,"University College of Ayurved, Rajasthan Ayurved University, Nagaur Road, Kadwad, Jodhpur- 342037,
Rajasthan",Government,"Grant of conditional permission for intake capacity with
100  seats  (125  seats  including  EWS)  in  UG  (BAMS) course, and 57 seats (71 seats including EWS) [instead of 66 seats (82 seats including EWS)] in 11 PG courses namely (i)  Kaya  Chikitsa-06 seats (07 seats including EWS)  (ii)  Prasuti  avam  Stri  Rog-  06  seats  (08  seats including  EWS)  (iii)  ShalyaTantra  -06  seats  (07  seats including  EWS)  (iv)  Dravyaguna  Vigyan-06  seats  (08 seats  including  EWS)  (v)  Rasa  Shastra  &.  Bhaishajya Kalpana-   06   seats   (08   seats   including   EWS)   (vi) Rachna Sharir- 06 seats (08 seats including EWS) (vii) Panchkarma  -  05  seats  (06  seats  including  EWS) [instead  of  06  seats  (07  seats  including  EWS))  (viii) Swasthvritta  and  Yoga  -  04  seats  (05  seats  including EWS)  [instead  of  06  seats  (07  seats  including  EWS))
(ix)  Kriya  Sharir  -  05  seats  (06  seats  including  EWS) [instead  of  06  seats  (07  seats  including  EWS)J  (x) Kaumarabhritya   -   balaroga   -   04   seats   (05   seats including EWS) [instead of 06 seats (08 seats including EWS) (xi) Agad Tantra avum Vidhi Vaidyaka - 03 seats [instead  of 06  seats (07  seats including  EWS))  under section  28  of  NCISM  Act,  2020  for  the  academic",100,57,0,125,71,0,"Conditional Permission with seat Reduction in PG ( UG - 100 seats, PG - 57
seats without EWS) & (UG
- 125 seats, PG - 71 seats including EWS)"
273,AYU0009,Bihar,"Government Ayurvedic College & Hospital,
Kadam Kuan, Patna- 800003, Bihar",Government,"Grant of Conditional Permission for intake capacity with
100  seats  (125  seats  including  EWS)  in  UG  (BAMS) course and 60 seats (75 seats including EWS) [instead of 68 seats (84 seats including EWS)] in 14 PG Courses namely  i)  Kaumarbhritya-  Bala  Roga  -05  seats  (06 seats  including  EWS)  (ii)  Kayachikitsa-  04  seats  (05 seats  including  EWS)  [instead  of  05  seats  (06  seats including  EWS)]  (iii)  Panchkarma-05  seats  (07  seats including  EWS)  (iv)  Shalakya  Tantra-  05  seats  (06 seats  including  EWS)  (v)  Shalya  Tantra-05  seats  (06 seats  Including  EWS)  (vi)  Prasuti  &  Stri  Roga  -  02 seats  (without  EWS)  [instead  of  05  seats  (06  seats including EWS)] (vii) Rasa Shastra & Bhaisajya Kalpana
-04  seats  (06  seats  including  EWS)  (viii)  Dravyaguna Vigyana   -04   seats   (06   seats   including   EWS)   (xi) Rachna  Sharir-05  seats  (06  seats  including  EWS)  (x) Agad Tantra avum Vidhi Vaidyaka- 05 seats (06 seats including  EWS)  (xi)  Kriya  Sharir-  01  seat  (without EWS)  [instead  of  05  seats  (06  seats  including  EWS)]
(xii) Ayurved Samhita & Siddhanta- 05 seats (06 seats including EWS) (xiii) Swasthavritta- 05 seats (06 seats including EWS) (xiv) Rog Nidana avum Vikriti Vigyan - 05  seats  (06  seats  including  EWS)  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020",100,60,0,125,75,0,"Conditional Permission (UG - 100 seats, PG - 60
seats without EWS) and (UG - 60 seats, PG - 75
seats including EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
274,AYU0236,Tamil Nadu,"Sri Jayendra Sarswathi Ayurveda College & Hospital 4/295, Bangalore High Road, Nazarathpet, Chennai, Taluka Poonamallee, Distt. Thiruvallur- 600123, Tamil Nadu",Deemed University (Private),"Grant of conditional permission for intake capacity
with 60 seats in UG (BAMS) course and 30 seats in 5 PG   course   namely   (i)   Kayachikitsa-06   seats,   (ii) Panchkarma-06 seats, (iii) Prasuti &. Striroga-06 seats,
(iv)  Rasa  shastra  and Bhaisajya  Kalpana-06 seats (v) Shalya Tantra-06 seats under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,30,0,0,0,0,"Conditional Permission after Ist Appeal ( UG - 60 seats without EWS, PG - 30 seats without EWS)"
275,AYU0245,Uttar Pradesh,"Lalit Hari State P.G. Ayurvedic College & Hospital,
Pilibhit- 262001, Uttar Pradesh",Government,"Grant of conditional permission with intake capacity of
50  seats  (63  seats  including  EWS)  in  UG  (BAMS) course for the academic session 2024-25 under section
28   of   NCISM   Act,   2020   and   relevant   regulations thereunder  with  respect  to  appeal  dated  12.11.2024 and   06   seats   (08   seats   including   EWS)   in   PG Dravyaguna  Vigyana  Department  under  section  28  of NCISM Act, 2020 and Denial of Letter of Permission for increase intake capacity of 50 seats to 60 seats in UG  BAMS  for  the  academic  session  2024-25  under section 29 of NCISM Act, 2020",50,6,0,63,8,0,"Conditional Permission after Ist Appeal ( UG - 50 seats, PG - 06 seats without EWS) & (UG- 63 seats, PG - 08 seats including EWS) & Denial of LOP (50 to 60)"
